fake_key,real_key,fake_path,real_path,ssim,lpips
00736_00151_00,00736_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00736_00151_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00736_00.jpg,0.6994731971840812,0.2791203558444977
00737_01814_00,00737_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00737_01814_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00737_00.jpg,0.7833846127822371,0.2631164491176605
00739_05186_00,00739_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00739_05186_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00739_00.jpg,0.9192802871195448,0.1293344497680664
00740_08671_00,00740_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00740_08671_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00740_00.jpg,0.8018328625701305,0.22040852904319763
00760_02941_00,00760_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00760_02941_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00760_00.jpg,0.8085460466020149,0.20458564162254333
00765_14022_00,00765_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00765_14022_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00765_00.jpg,0.7315899657250432,0.26156511902809143
00782_07339_00,00782_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00782_07339_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00782_00.jpg,0.7557723931466892,0.24637116491794586
00785_10721_00,00785_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00785_10721_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00785_00.jpg,0.7728869157737491,0.23218514025211334
00789_09505_00,00789_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00789_09505_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00789_00.jpg,0.8119502825971976,0.13869360089302063
00790_01176_00,00790_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00790_01176_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00790_00.jpg,0.768198372775699,0.36218589544296265
00802_14525_00,00802_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00802_14525_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00802_00.jpg,0.803450675205458,0.21891933679580688
00814_06350_00,00814_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00814_06350_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00814_00.jpg,0.7588595767672812,0.23687106370925903
00821_05210_00,00821_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00821_05210_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00821_00.jpg,0.8522084570872005,0.15120109915733337
00824_05572_00,00824_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00824_05572_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00824_00.jpg,0.9249678778938947,0.09498077630996704
00827_12000_00,00827_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00827_12000_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00827_00.jpg,0.8228334309268099,0.19102676212787628
00828_13308_00,00828_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00828_13308_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00828_00.jpg,0.7826757006244018,0.18780779838562012
00832_14144_00,00832_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00832_14144_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00832_00.jpg,0.8006188120765184,0.22932666540145874
00848_01858_00,00848_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00848_01858_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00848_00.jpg,0.8210353146033542,0.23704758286476135
